Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1980;1;0;0;0;0.3;0;0;0;0;0;0;0;0
1980;2;0;0;0;0;0;0;0;0;0;0;0;0
1980;3;0;2;0;4.6;0;0;0;0;0;0;0;0
1980;4;0;0.4;0;30.3;0;0;0;0;0;0;0;0
1980;5;0;0;0;0;0;0;0;0;0;0;0;0
1980;6;0;0;0;0;0;0;0;0;0;0;0;0
1980;7;0;0;0;0;0.3;0;0;0;0;0;0;0
1980;8;0;0;0;0;0;0;0;0;0;0;0;0
1980;9;0;0;0;0;0;0;0;0;0;0;0;0
1980;10;0;0;0;0;0;0;0;0;0;0;0;0
1980;11;0;0;0;0;0;0;0;0;0;0;0;0
1980;12;0;0;0;0;0;0;0;0;0;0;0;2.9
1980;13;0;0;0;0;0;0;0;0;0;0;0;0
1980;14;0;0;0;0;0;0;0;0;0;0;0;0
1980;15;0;0;0;0;0;0;0;0;0;0;0;0
1980;16;0;0;0;0;0;0;0;0;0;0;0;0
1980;17;0;0.1;0;0;0;0;0;0;0;0;0;0
1980;18;0;0;3.8;0;0;0;0;0;0;0;0;0
1980;19;0;0;0;0;0;0;0;0;0;0;0;0
1980;20;0.2;0;0.4;0;0;0;0;0;0;0.4;0;0
1980;21;0;0;0;0;0;0;0;0;0;0;0;0
1980;22;0;0;0.3;0;0;0;0;0;0;0;0;0
1980;23;0;0;2.6;0;0;0;0;0;0;0;0;0
1980;24;0;0;0;0;0;0;0;0;0;0;0;0
1980;25;0;0;0;0;0;0;0;0;0;0;0;0
1980;26;0;0;0;0;0;0;0;0;0;0;4.4;0
1980;27;0;0;0;0;0;0;0;0;0;0;0;0
1980;28;0;0;0;0;0;0;0;0;0;0;0;0
1980;29;0;0;0;0;0;0;0;0;0;0;1.2;0
1980;30;0;;0;0;0;0;0;0;0;0;0;0
1980;31;0;;6.6;;0;;0;0;;0;;0
1981;1;0;0;0;0;0;0;0;0;0;0;0;0
1981;2;0;0;0;0;0;0;0;0;0;0;0;0
1981;3;0;0;0;0;0;0;0.1;0;0;0;0;0
1981;4;0;0.3;0;0;0;0;0;0;0;0;0;0
1981;5;0;0;0;0;0;0;0;0;0;0;0;0
1981;6;0;0;18.4;0;0;0;0;0;0;0;0;0
1981;7;0.3;0;1.1;0;0;0;0;0;0;0;0;0
1981;8;0;0;0;0;0;0;0;0;0;0;0;0
1981;9;0;0;2.6;0;0;0;0;0;0;0;0;0
1981;10;0;0;0.9;0;0;0;0;0;0;0;0;0
1981;11;0;0;1.1;0;0;0;0;0;0;0;0;0
1981;12;0;0;1.6;0;0;0;0;0;0;0;0;0
1981;13;0;0;0;0;0;0;0;0;0;0;0;0
1981;14;0;0;0;0;0;0;0;0;0;0;0;0
1981;15;0;0;0;0;0;0;0;0;0;0;0;0
1981;16;0;0.2;0;0;0;0;0;0;0;0;0;1.4
1981;17;0;0;0;0;0;0;0;0;0;0;0;0
1981;18;0;0;0;0;0;0;0;0;0;0;0;0
1981;19;0;0;0;0;0;0;0;0;0;0;0;0
1981;20;0;0;0;0;0;0;0;0;0;0;0;0
1981;21;0;0.5;0;0;0;0;0;0;0;0;0;0
1981;22;0;0.6;0;0;0;0;0;0;0;0;0;0
1981;23;0;0.1;0;0;0;0;0;0;0;0;0;0
1981;24;0;0.1;0;0;0;0;0;0;0;2.2;0;0
1981;25;0;0;0;0;0;0;0;0;0;0;0;0
1981;26;0;0;0;0;0;0;0;0;0;0;0;0
1981;27;0;0;0;0;0;0;0;0;0;0;0;0
1981;28;0;0;0;0;0;0;0;0;0;0;0;0.1
1981;29;0;;0;0;0;0;0;0;0;0;0;0
1981;30;0;;0;0;0;0;0;0.6;0;0;0;0
1981;31;0;;0;;0;;0;0;;0;;0
1982;1;0;0;0;0;0;0;0;0;0;0;0;0
1982;2;0;0;0;0;0;0;0;0;0;0;0;0
1982;3;0;0;0;0;0;0;0;0;0;0;0;0
1982;4;0;0;0;0;0;0;0;0;0;0;0;0
1982;5;0;0;0;0;0;0;0;0;0;0;0;0.4
1982;6;0;0;0;0;0;0;0;0;0;0;0;0
1982;7;0;0;0;0;0;0;0;0;0;0;0;1.5
1982;8;0;0;0;2.2;0;0;0;0;0;0;0;3.4
1982;9;0;0;0;0.1;0;0;0;0;0;0;0;0
1982;10;0;0;0;0.7;1.2;0;0;0;0;0;0;0
1982;11;0;0;0;0.4;0;0;0;0;0;0;0;0
1982;12;0;0;0;0;0;0;0;0;0;0;0;0.9
1982;13;0;0;0;0;0;0;0;0;0;0;0;0.2
1982;14;0;0;0;0;0;0;0;0;0;0.5;0;0
1982;15;0;0;0;0;0;0;0;0;0;0;0;0
1982;16;0;0;0;0;0;0;0;0;0;0;6.7;0
1982;17;0;0;0;0;0;0;0;0;0;0;0;0
1982;18;0;0;0;0;0;0;0;0;0;0;0;0
1982;19;0;0;0;0;0;0;0;0;0;0;0;0
1982;20;0;0;0;0;0;0;0;0;0;0;0;0
1982;21;0;0;0;0;0;0;0;0;0;0;0;0
1982;22;0;0;0;0;0;0;0;0;0;0;0;0
1982;23;0;0;0;0.5;0;0;0;0;0.1;0;0;0
1982;24;0;0;0;0;0;0;0;0;0;0;0;0
1982;25;0;0;0;0;0.1;0;0;0;0;0;0;0
1982;26;0;0;0;0;0;0;0;0;0;1.2;0;0
1982;27;0;0;0;0;0;0;0.2;0;0;0;0;3.6
1982;28;0;0;0;0;0;0;0;0;0;0;0;0
1982;29;0;;0;0;0;0;0;0;0;0;0;0
1982;30;0;;0;0;0;0;0;0;0;0;0;0
1982;31;0;;0;;0;;0;0;;0;;0.1
1983;1;0;0;0;0;0.5;0.5;0;0;0;0;0;0
1983;2;0;0;0.3;31.2;0;0.7;0;0;0;0;0;0
1983;3;0;0;0;0;0.2;5.8;0;0;0;0;0;0
1983;4;33.3;3.4;0;71.2;5.5;40.9;0;0;0;0;0;0
1983;5;66.4;0;0;68.6;7.5;1.2;0;0;0;0;0;0
1983;6;35.6;2.6;0;38;4.8;5.5;0.5;0;0;0;0;0
1983;7;5;12;0;15;2.8;130.4;0;0;0;0;0;0
1983;8;0;0;0;0;1.7;0.8;0;0;0;0;0;0
1983;9;4.4;0;65;35;0.1;6.6;0;0;0;0;0;0
1983;10;0;0;13;8.4;0;0;0.2;0;0;0;0;0
1983;11;0;0;29.5;29.8;0;0;0;0;0;0;0;0
1983;12;6.3;0;0;0.1;31.5;0;0;0;0;0;0;0
1983;13;0;104.5;8.9;7.9;8.6;0;0;0;0;0;0;0
1983;14;0.3;12.6;98;6.1;91.8;0;0;0;0;0;0;0
1983;15;3.4;0;16.4;6;2.3;0;0;0;0;0;0;0
1983;16;0.1;0.1;9.5;151.4;22.4;0;0;0;0;0;0;0
1983;17;2.1;0;6.7;0;64.7;0;0;0;0;0;0;0
1983;18;2.1;22.4;16.5;61.1;16.2;0;0;0;0;0;0;0
1983;19;4.6;1.4;1.4;1.1;2.7;0;0;0;0;0;0;4.3
1983;20;1.1;0;0;13.7;38.6;0;0;0;0;0;0;3.6
1983;21;41.6;0;0;4.4;0;0;0;0;0;0;0;0
1983;22;0;0.7;86.8;13.1;0;0;0;0;0;0;0;0
1983;23;0.2;0;9.2;1.9;0;0;0;0;0;0;0;0
1983;24;2.9;0;31;29;58.9;0;0;0;0;0;0;0
1983;25;67.3;0;2.3;11.4;0.8;0;0;0;0;0;0.1;0
1983;26;37;0;0;94.5;1.5;0;0;0;0;0;0;0
1983;27;5;0;0.8;2.9;2;0;0;0;0;0;0;0
1983;28;0;2;21.8;6;0;0;0;0;0;0;0;0
1983;29;5.8;;0;0;2.3;0;0;0;0;0;0;0
1983;30;0;;9.9;24.7;11.6;0;0;0;0;0;0;0.1
1983;31;0;;0.1;;0.6;;0;0.5;;0;;0.1
1984;1;0;0;0;0;0;0;0;0;0;0;0;0
1984;2;0;0;0;0;0;0;0;0;0;0;0;0
1984;3;0;0;0;0;0;0;0;0;0;0;0;0
1984;4;0;0;0.1;0;0;0;0;0;0;0;0;0
1984;5;0;0;0.1;0;0;0;0;0;0;0;0;0
1984;6;0;0;2.6;0;0;0;0;0;0;0;0;0
1984;7;0;0;0.4;0;0;0;0.2;0;0;0;0;0
1984;8;0;0;1.9;0;0;0;0.9;0;0;0;0;0
1984;9;0;0;0;0.2;0;0;0;0;0;0;0;0
1984;10;0;0;0;0;0;0;0;0;0;0;0;0
1984;11;0;0;0;0;0;0;0;0;0;0;0;0
1984;12;0;0;0;0;0;0;0;0;0;0;0;0
1984;13;0;2.9;0;0;0;0;0;0;0;0;0;0
1984;14;0;0;0.4;0;0;0;0;0;0;0;0;0
1984;15;0;0;0;0;0;0;0;0;0;0.5;0;0
1984;16;0;0.3;0;0;0;0;0;0;0;0.3;0;0
1984;17;0;0;0;0;0;0;0;0;0;0;0;0
1984;18;0;0;0;0;0;0;0;0;0;0;0;0.1
1984;19;0;0;0;0;1.1;0;0;0;0;0;0;0
1984;20;0;0;0;0;0;0;0;0;0;0;0;0
1984;21;0;0;0;0;0.1;0;0;0;0;0;0;0
1984;22;0;0.7;0;0;0;0;0;0;0;0;0;0
1984;23;0;0;2.1;0.1;0;0;0;0;0;0;0;0
1984;24;0;0;0.1;0;0;0;0;0;0;0;0;0
1984;25;0.4;13;0;0;0;0;0;0;0;0;0;0
1984;26;0;1.7;0.2;0;0;0;0;0;0;0;0;0
1984;27;0;0;0;0;0;0;0;0;0;0;0;0
1984;28;0;3.1;0;0;0;0;0;0;0;0;0;0
1984;29;0;8;0.1;0;0;0;0;0;0;0;0;0
1984;30;0;;0;0;0;0;0;0;0;0;0;0
1984;31;0;;0;;1.6;;0;0;;0;;0
1985;1;0;0.2;0;0;0;0;0;0;0;0;0;0
1985;2;0;0;0;0;0;0;0;0;0;0;0;0
1985;3;0;0;0;0;0;0;0;0;0;0.3;0;0
1985;4;0;0;0.1;0;0;0;0;0;0;0;0;0
1985;5;2.8;0;15.9;0;0;0;0;0;0;0;0;0
1985;6;0;0;;0;0;0;0;0;0;0;0;0
1985;7;0;0;;0;0;0;0;0;0;0;0;0
1985;8;0;0;;0;0;0;0;0;0;0;0;0.3
1985;9;0;0;;0;0;0;0;0;0;0;0;0
1985;10;0;0;;0;1.3;0;0;0;0;0;0;0
1985;11;0;0;;0;0.7;0;0;0;0;0;0;0
1985;12;0;0;;0;0;0;0;0;0;0;0;0
1985;13;0;0;;0;0;0;0;0;0;0;0;0
1985;14;0;0;;0;0;0;0;0;0;0;0;0.4
1985;15;0;0;0;0;0;0;0;0;0;0;0;0.3
1985;16;0;0;0;0;0;0;0;0;0;0;0;0
1985;17;0;0;0;0;0;0;0;0;0;0;0;0
1985;18;0;0;0;0;0;0;0;0.3;0;0;0;0
1985;19;0;0;0;0;0;0;0;0;0;0;0;0
1985;20;0;0;0;0;0;0;0;0;0;0;0;0.1
1985;21;0;0;0;0;0;0;0;0;0;0;0;0
1985;22;0;0;0;0;0;0;0;0;0;0;0;0
1985;23;0;2.4;0;0;0;0;0;0;0;0;0;0
1985;24;0;0.4;0;0;0;0;0;0;0;0;0;0
1985;25;0;0;0;0;0;0;0;0;0;0;0;0
1985;26;0;0;0;0;0;0;0;0;0;0;0;0
1985;27;0;0;0;0;0;0;0;0;0;0;0;0
1985;28;0;0;0;0;0;0;0;0;0;0;0;0
1985;29;0;;0;0;0;0;0;0;0;0;0;0
1985;30;0;;0;0;0;0;0;0;0;0;0;0
1985;31;0;;0;;0;;0;0;;1;;0
1986;1;0;0.2;0;0;0;0;0;0;0;0;0;0
1986;2;0;0;0;0;0;0;0;0;0;0;0;0
1986;3;0;0;0;0;0;0;0;0;0;0;0;0
1986;4;0;0;0;0;0;0;0;0;0;0;0;0
1986;5;0;0;;1.4;0;0;0;0;0;0;0;0
1986;6;0;0;;0.1;0;0;0;0;0;0;0;0
1986;7;0;0;;0.3;0;0;0;0;0;0;0.3;0
1986;8;0;0;;0;0;0;0;0;0;0;0;0
1986;9;0;0;;0;0;0;0;0;0;0;0;0
1986;10;0;0;;0;0;0;0;0;0;0;0;0
1986;11;0.7;0;;0;0;0;0;0;0;0;0;0
1986;12;0;0;;0;0;0;0;0;0;0;0;0
1986;13;0.3;0.1;;0;0;0;0;0;0;0;0;0
1986;14;0.4;0;;0;0;0;0;0;0;0;0;0
1986;15;0;0;;0.2;0;0;0;0;0;0;0;0
1986;16;0;0;;0;0;0;0;0;0;0;0;0
1986;17;0;0;;0;0;0;0;0;0;0;6;0
1986;18;0;0;;4.4;0;0;0;0;0;0;2.1;0
1986;19;0;0;;0.6;0;0;0;0;0;0;0;0
1986;20;0;0;;0;0;0;0;0;0;0;0;0
1986;21;0;0;;0;0;0;0;0;0;0;0;0
1986;22;0;0.6;;0;0;0;0;0;0;0;0;0
1986;23;0;6.1;;0;0;0;0;0;0;0;0;0
1986;24;0;0.1;;0;0;0;0;0;0;0;0;0
1986;25;0;0;;0;0.8;0;0;0;0;0;0;0
1986;26;0.1;0;;0;0;0;0;0;0;0;0;0
1986;27;0;0;;0;0;0;0;0;0;0;0;0
1986;28;0;0;;0;0;0;0;0;0;0;0;0
1986;29;0;;;0;0;0;0;0;0;0;0;0
1986;30;0;;;0;0;0;0;0;0;0;0;0
1986;31;0;;0;;0;;0;0;;0;;0
1987;1;0;0;0;0;0;0;0;0;0;0;0;0
1987;2;0;0;0;0;0;0;0.3;0;0;5.1;0;0
1987;3;0;0;0;0;0;0;0;0;0;1.6;0;0
1987;4;0;0;0;0;0;0;0;0;0;0;0;0
1987;5;0;0.4;0.2;1.7;0;0;0;0;0;0;0;0
1987;6;0;0;0.2;0;0;0;0;0;0;0;0;0
1987;7;0;0;0;0;0;0;0;0;0;0;0;0
1987;8;0;0;0.5;0;0;0;0;0;0;0;0;0
1987;9;0;10.4;23.7;0;0;0;0;0;0;0;0;0
1987;10;0;0.2;0;0;0;0;0;0;0;0;0;0
1987;11;0;0;0;2.6;0;0;0;0;0;0;0;0
1987;12;0;0;0;0;0;0;0.1;0;0;0;0;0
1987;13;0;28.9;0;0;0;0;0;0;0;0;0.3;0
1987;14;0;6.8;0;5.2;0;0;0;0;0;0;0;0
1987;15;0;0;34.9;0.2;0;0;0;0;0;0;0.1;0
1987;16;0;0;25.6;0.4;0;0;0;0;0;0;0;0
1987;17;0;26.5;0.2;0;0;0;0;0;0;0;0;0
1987;18;0;0;0;0;0;0;0;0;0;0;0;0
1987;19;1;0;0;0;0;0;0;0;0;0;0;0
1987;20;7.6;0.7;0;0;0;0;0;0;0;0;0;0
1987;21;0;0;0;0;0;0;0;0;0;0;0;0
1987;22;11.1;3;0;1.4;0;0;0;0;0;0;0;0
1987;23;0.1;0.1;0;0;0;0;0;0;0;0;0;0
1987;24;0;0;11.6;0;0;0;0;0;0;0;0;0
1987;25;0;0;0;0;0;0;0;0;0;0;0;0
1987;26;2.4;1.1;1.7;0;0;0;0;0;0;0;0;0
1987;27;0;0;0;0;0;0;0;0;0;0;0;0
1987;28;0.6;0;0;0;0;0;0;0;0;0;0;0
1987;29;0;;0;1.6;0;0;0;0;0;0;0;0
1987;30;0;;0;3.3;0;0;0;0;0;0;0;0
1987;31;0;;0;;0;;0;0;;0;;0
1988;1;0;0;0;0;0;0;0;0;0;0;0.1;0
1988;2;0;0;0;0;0;0;0;0;0;0;0;0
1988;3;0;0;0;0;0;0;0;0;0;0;0;0
1988;4;0;0;0;0;0;0;0;0;0;0;0;0
1988;5;0;0;0;0;0;0;0;0;0;0;0;0
1988;6;0;0;0;0;0;0;0;0;0;0;0;0
1988;7;0;0;0;0;0;0;0;0;0;0;0;0
1988;8;0;0;0;0;0;0;0;0;0;0;0.1;0
1988;9;0;0;0;4.6;0;0;0;0;0;0;0;0
1988;10;1.4;0;0;1.3;0;0;0;0;0;0;0;0
1988;11;0;0;0;0;0;0;0;0;0;0;0;0
1988;12;0;0;0;0;0;0;0;0;0;0;0;0
1988;13;0;0;0;0;0;0;0;0;0;0;0;0
1988;14;2.5;0;0;0;0;0;0;0;0;0;0;0
1988;15;0;0;0;0;0;0;0;0;0;0;0;0
1988;16;0.2;0;0;0;0;0;0;;0;0;0;0
1988;17;3;0;0;0;0;0;0;;0;0;0;0
1988;18;0.1;0;0;0;0;0;0;;0;0;0;0
1988;19;0;0;0;0;0;0;0;;0;0;0;0
1988;20;0;0;0;0;0;0;0;;0;0;0;0
1988;21;0;0;0;0;0;0;0;;0;0;0;0
1988;22;0;0;0;0;0;0;0;0;0;0;0;0
1988;23;0;0.2;0;0;0;0;0;0;0;0;0;0
1988;24;0;0;0;0;0;0;0;0;0;0;0;0
1988;25;0;0.1;0;0;0;0;0;0;0;0;0;0
1988;26;0;0;0;0;0;0;0;0;0;0;0;0
1988;27;0;0;0;0;0;0;0;0;0;0;0;0
1988;28;0;0;0;0;0;0;0;0;0;0;0;0
1988;29;0;0;0;0;0;0;0;0;0;0;0;0
1988;30;0;;0;0;0;0;0;0;0;0;0;0
1988;31;0;;0;;0;;0;0;;0;;0
1989;1;0;4.3;0;;0;0;0;0;0;0;0;0
1989;2;0;0;0;;0;0;0;0;0;0;0;0
1989;3;0;0;1.1;;0;0;0;0;0;0;0;0
1989;4;1.9;0;0;;0;0;0;0;0;0;0;0
1989;5;0.2;0;0;;0;0;0;0;0;0;0;0
1989;6;1.1;0;0;;0.1;0;0;0;0;0;0;0
1989;7;0;0;0;;0.3;0;0;0;0;0;0;0
1989;8;0;0;0;;0;0;0;0;0;0;0;0
1989;9;0;0;0;;0;0;0;0;0;0;0;0
1989;10;0;0.5;0;;0;0;0;0;0;0;0;0
1989;11;0;0.3;0;;0;1.1;0;0;0;0;0;0
1989;12;0;0;0;;0;0;0;0;0;0;0;0
1989;13;0;0;0;;0;0;0;0;0;0;0;0
1989;14;0;0;0;;0;0;0;0;0;0;0;0
1989;15;0;1;0;;0;0;0;0;0;0;0;0
1989;16;0;3;0;;0;0;0;0;0;0;0;0
1989;17;0;0;0.2;;0;0;0;0;0;0;0;0
1989;18;0;0;0;;0;0;0;0;0;0;0;0
1989;19;0;10;0.3;;0;0;0;0;0;0;0;0
1989;20;0;0;2.5;;0;0;0;0;0;0;0;0
1989;21;0;0;0;;0;0;0;0;0;0;0;0
1989;22;0;8.8;0;;0;0;0;0;0;0;0;0
1989;23;0.1;4;0;;0;0;0;0;0;0;0;0
1989;24;0;10.1;1.5;;0;0;0;0;0;0;0;0
1989;25;0;0;3.5;;0;0;0;0;0;0.6;0;0
1989;26;2.2;0;0;;0;0;0;0;0;0;0;0
1989;27;0.6;0;0;;0;0;0;0;0;0;0;0
1989;28;0;0;0;;0;0;0;0;0;0;0;0
1989;29;0;;0;;0;0;0;0;0;0;0;0
1989;30;0.2;;0;;0;0;0;0;0;0;0;0
1989;31;2;;;;0;;0;0;;0;;0.9
1990;1;0;0;0;;0;0;0;0;0;0.4;;0.7
1990;2;0;0;0;;0;0;0;0;0;0;;0
1990;3;0;0;0;;0;0;0;0;0;0;;0
1990;4;0;0;0;;0;0;0;0;0;0;;0
1990;5;0;0;0;;0;0;0;0;0;0;;0
1990;6;0;0;0;;0;0;0;0;0;0;;0
1990;7;0;0;0;;0;0;0;0;0;0;;0
1990;8;0;0;0;;0;0;0;0;0;0;;0
1990;9;0;0;0;;0;0;0;0;0;0;;0
1990;10;0;0;0;0;0;0;0;0;0;0;;0
1990;11;0;0;0;0;0;0;0;0;0;0;;0
1990;12;0;0.5;0;0;0;0;0;0;0;0;;0
1990;13;0;0;0;0;0;0;0;0;0;0;;0
1990;14;0;0;0;0;0;0;0;0;0;0;;0
1990;15;0;0;0;0;0;0;0;0;0;0;;0
1990;16;0;0;0;0;0;0;0;0;0;0;;0
1990;17;0;0;0;0;0;0;0;0;0;0;;0
1990;18;0;0;0;0;0;0;0;0;0;0;;0
1990;19;0;0;0;0;0;0;0;0;0;0;;0
1990;20;0;0;0.2;0;0;0;0;0;0;0;;0
1990;21;0;0;0;0;0;0;0;0;0;0;;0
1990;22;0;0;0;0;0;0;0;0;0;0;;0
1990;23;0;0;2.4;0;0;0;0;0;0;0;;0
1990;24;0;0;0;0;0;0;0;0;0;0;;0
1990;25;0;0;0.4;0;0;0;0;0;0;0;;0
1990;26;0;0;0;0;0;0;0;0;0;0;;0
1990;27;0;0;0;0;0;0;0;0;0;0;;0
1990;28;0;0;0;0;0;0;0;0;0;0;;0
1990;29;0;;0;0;0;0;0;0;0;0;;0.5
1990;30;0;;0;0;1.4;0;0;0;0;0;;1.5
1990;31;0;;0.7;;0.5;;0;0;;;;0
1991;1;0;0.2;0;0;0;0;0;0;0;0;1.1;3.5
1991;2;0;0;0;0;0;0;0;0;0;0;0;0
1991;3;0;0;0;0;0;0;0;0;0;0;0;0
1991;4;0;0;0;0;0;0;0;0;0;0;0;0
1991;5;0;0;0;0;0;0;0;0;0;0;0;0
1991;6;0;0;0;0;0;0;0;0;0;0;0;0
1991;7;0;0;0;0;0;0;0;0;0;0;0;0
1991;8;0;0;0;;0;0;0;0;0;0;0;0
1991;9;0;0;0;;0;0;0;0;0;0;0;0
1991;10;0;0;0.1;;0;0;0;0;0;0;0;0
1991;11;0;0;0.1;;0;0;0;0;0;0;0;0
1991;12;0;0;0;;0;0;0;0;0;0;0;0
1991;13;0;0;0;;0;0;0;0;0;0;0;0
1991;14;0;0;1.1;;0;0;0;0;0;0;0;0
1991;15;0;0;0.3;;0;0;0;0;0;0;0;0
1991;16;0;0;0;;0;0;0;0;0;0;0;0
1991;17;0;0;0;;0;0;0;0;0;0;0;0
1991;18;0;0;0;;0;0;0;0;0;0;0;0
1991;19;0;0;0;;0;0;0;0;0;0;0.5;0
1991;20;0;0;0;;0;0;0;0;0;0;0;0
1991;21;0;0;0;;0;0;0;0;0;0;0;0
1991;22;0;0;0;;0;0;0;0;0;0;0;0
1991;23;0;0;0;;0;0;0;0;0;0;0;0
1991;24;0;0;0;;0;0;0;0;0;0;0;0
1991;25;0;0;0;;0;0;0;0;0;0;0;0
1991;26;0;0;0;;0;0;0;0;0;0;0;0.5
1991;27;0;0.1;0;0;0;0;0;0;0;0;0;0
1991;28;0;0.5;0;0;0;0;0;0;0;0;0;0
1991;29;0;;0;0.5;0;0;0;0;0;0;0;0
1991;30;0;;0;0;0;0;0;0;0;0;0;0
1991;31;0.2;;0;;0;;0;0;;0;;0
1992;1;0;0;0;0;1.4;0;0;0;0;0;0;0
1992;2;0;0;0.1;0;0;0;0;0;0;0;0;0
1992;3;0;0;0.6;0;0;0;0;0;0;0;0;0
1992;4;0;0;0;3.4;0;0;0;0;0;0;0;0
1992;5;0;0;0;1.7;0;0;0;0;0;0;0;0
1992;6;0;0;0;0;11;0;0;0;0;0;0;0
1992;7;0;0;2.3;0;0;0;0;0;0;0;0;0
1992;8;0;0;0.4;0;0;0;0;0;0;0;0;0
1992;9;0;3.6;0;0;0;0;0;0;0;0;0;0
